"inc_vote","year","inflation","goodnews","growth"
48.515998840332,1876,NA,NA,5.1100001335144
50.2200012207031,1880,1.97399997711182,9,3.87899994850159
49.8460006713867,1884,1.05499994754791,2,1.58899998664856
50.4140014648438,1888,0.603999972343445,3,-5.55299997329712
48.2680015563965,1892,2.2739999294281,7,2.76300001144409
47.7599983215332,1896,3.41000008583069,6,-10.0240001678467
53.1710014343262,1900,2.54800009727478,7,-1.42499995231628
60.0060005187988,1904,1.44200003147125,5,-2.4210000038147
54.4830017089844,1908,1.87899994850159,8,-6.2810001373291
54.7080001831055,1912,2.17199993133545,8,4.16400003433228
51.681999206543,1916,4.2519998550415,3,2.22900009155273
36.1479988098145,1920,0,0,-11.4630002975464
58.2630004882812,1924,5.16099977493286,10,-3.87199997901917
58.7560005187988,1928,0.18299999833107,7,4.6230001449585
40.851001739502,1932,6.92799997329712,4,-14.3500003814697
62.226001739502,1936,2.49799990653992,9,11.6820001602173
54.9830017089844,1940,0.0509999990463257,8,3.91300010681152
53.7779998779297,1944,0,0,4.12200021743774
52.3190002441406,1948,0,0,3.21399998664856
44.7099990844727,1952,2.3529999256134,7,0.996999979019165
57.0940017700195,1956,1.90699994564056,5,-1.25199997425079
49.9129981994629,1960,1.98000001907349,5,0.674000024795532
61.2029991149902,1964,1.24100005626678,9,5.03000020980835
49.4249992370605,1968,3.08599996566772,7,5.04500007629395
61.7910003662109,1972,4.81300020217896,4,5.83400011062622
48.951000213623,1976,7.46299982070923,5,3.81699991226196
44.8419990539551,1980,7.79500007629395,5,-3.58299994468689
59.1230010986328,1984,5.21000003814697,8,5.55000019073486
53.8320007324219,1988,2.87100005149841,5,2.40300011634827
46.3790016174316,1992,3.19300007820129,3,3.03500008583069
54.7369995117188,1996,2.03099989891052,4,3.31500005722046
50.2620010375977,2000,1.68299996852875,7,2.03099989891052
51.2330017089844,2004,2.14100003242493,2,2.08599996566772
46.3110008239746,2008,2.74499988555908,2,-1.78699994087219
52.0099983215332,2012,1.47000002861023,1,1.42200005054474
51.1110000610352,2016,1.41999995708466,2,0.970000028610229
